time,gasoline_co2,av_co2,total_gasoline,total_av,gasoline_vehicles,av_vehicles,total_distance
1.0,2.624722222222222,0.0,2.624722222222222,0.0,1,0,0.0
2.0,5.584388395993635,0.0,8.209110618215856,0.0,2,0,1.3843032849719747
3.0,7.200518599583436,0.0,15.409629217799292,0.0,2,1,5.18539091614075
4.0,12.035952997659379,0.0,27.44558221545867,0.0,3,1,11.33722969063092
5.0,16.851011345455383,0.0,44.296593560914054,0.0,4,1,19.295202798536046
6.0,21.625452176506492,0.0,65.92204573742055,0.0,5,1,28.031877263262867
7.0,30.235289196084544,0.0,96.1573349335051,0.0,5,2,41.158317111618814
8.0,41.35666454674737,0.0,137.51399948025247,0.0,6,2,56.56356444102711
9.0,34.20402636410697,0.0,171.71802584435943,0.0,7,2,69.4429364241212
10.0,38.18314199196657,0.0,209.901167836326,0.0,7,2,78.38166874688586
11.0,53.31491889352888,0.0,263.2160867298549,0.0,9,2,90.68130601899878
12.0,47.30253482861537,0.0,310.5186215584703,0.0,10,2,99.86232521722867
13.0,60.46231375693053,0.0,370.9809353154008,0.0,11,2,107.94818338826119
14.0,67.38896081068013,0.0,438.36989612608096,0.0,12,2,118.92410812201041
15.0,41.28596504462505,0.0,479.65586117070603,0.0,13,2,115.46633816080117
16.0,54.09264010964074,0.0,533.7485012803468,0.0,14,2,125.24799211335363
17.0,52.80449657017297,0.0,586.5529978505198,0.0,15,2,136.05790296766253
18.0,52.550669744092446,0.0,639.1036675946123,0.0,16,2,138.0714120605291
19.0,63.218561731396655,0.0,702.3222293260089,0.0,17,2,145.91597236400992
20.0,78.03338325659153,0.0,780.3556125826004,0.0,18,2,168.87666425544478
21.0,93.24430277911372,0.0,873.5999153617141,0.0,19,2,193.05174786695474
22.0,84.08237319276583,0.0,957.68228855448,0.0,19,2,212.6726479312825
23.0,59.22849174039428,0.0,1016.9107802948743,0.0,20,2,211.36947153636976
24.0,89.74564304432448,0.0,1106.6564233391987,0.0,22,2,224.86079495694085
25.0,83.58662714249164,0.0,1190.2430504816903,0.0,23,2,229.52909559411054
26.0,97.97031594298505,0.0,1288.2133664246753,0.0,23,2,239.34307882085704
27.0,83.7717579412558,0.0,1371.9851243659311,0.0,24,2,254.17915231133776
28.0,95.12216429316528,0.0,1467.1072886590964,0.0,25,2,259.521894760741
29.0,87.8954038974456,0.0,1555.0026925565421,0.0,25,2,248.9454345409631
30.0,93.8646178514035,0.0,1648.8673104079455,0.0,26,2,253.270822159607
31.0,83.69918134236727,0.0,1732.5664917503127,0.0,26,2,250.62681243815604
32.0,81.99005719092142,0.0,1814.556548941234,0.0,26,2,255.93337831850502
