time,step,vehicle_count,av_count,gasoline_count,total_stops,total_co2,gasoline_co2,av_co2
1.0,1,0,0,1,0,2.624722222222222,2.624722222222222,0.0
2.0,2,0,0,2,0,8.209110618215856,8.209110618215856,0.0
3.0,3,0,1,2,0,15.409629217799292,15.409629217799292,0.0
4.0,4,0,1,3,0,27.44558221545867,27.44558221545867,0.0
5.0,5,0,1,4,0,44.296593560914054,44.296593560914054,0.0
6.0,6,0,1,5,0,65.92204573742055,65.92204573742055,0.0
7.0,7,0,2,5,0,96.1573349335051,96.1573349335051,0.0
8.0,8,0,2,6,0,137.51399948025247,137.51399948025247,0.0
9.0,9,0,2,7,0,171.71802584435943,171.71802584435943,0.0
10.0,10,0,2,7,0,209.901167836326,209.901167836326,0.0
11.0,11,0,2,9,0,263.2160867298549,263.2160867298549,0.0
12.0,12,0,2,10,0,310.5186215584703,310.5186215584703,0.0
13.0,13,0,2,11,0,370.9809353154008,370.9809353154008,0.0
14.0,14,0,2,12,0,438.36989612608096,438.36989612608096,0.0
15.0,15,0,2,13,0,479.65586117070603,479.65586117070603,0.0
16.0,16,0,2,14,0,533.7485012803468,533.7485012803468,0.0
17.0,17,0,2,15,0,586.5529978505198,586.5529978505198,0.0
18.0,18,0,2,16,0,639.1036675946123,639.1036675946123,0.0
19.0,19,0,2,17,0,702.3222293260089,702.3222293260089,0.0
20.0,20,0,2,18,0,780.3556125826004,780.3556125826004,0.0
21.0,21,0,2,19,0,873.5999153617141,873.5999153617141,0.0
22.0,22,0,2,19,0,957.68228855448,957.68228855448,0.0
23.0,23,0,2,20,0,1016.9107802948743,1016.9107802948743,0.0
24.0,24,0,2,22,0,1106.6564233391987,1106.6564233391987,0.0
25.0,25,0,2,23,0,1190.2430504816903,1190.2430504816903,0.0
26.0,26,0,2,23,0,1288.2133664246753,1288.2133664246753,0.0
27.0,27,0,2,24,0,1371.9851243659311,1371.9851243659311,0.0
28.0,28,0,2,25,0,1467.1072886590964,1467.1072886590964,0.0
29.0,29,0,2,25,0,1555.0026925565421,1555.0026925565421,0.0
30.0,30,0,2,26,0,1648.8673104079455,1648.8673104079455,0.0
31.0,31,0,2,26,0,1732.5664917503127,1732.5664917503127,0.0
32.0,32,0,2,26,0,1814.556548941234,1814.556548941234,0.0
33.0,33,0,2,28,0,1918.133908206114,1918.133908206114,0.0
34.0,34,0,2,29,0,2027.6039402063568,2027.6039402063568,0.0
35.0,35,0,2,31,0,2167.039410948485,2167.039410948485,0.0
36.0,36,0,2,32,0,2281.6804531442813,2281.6804531442813,0.0
37.0,37,0,2,33,0,2419.672447315688,2419.672447315688,0.0
38.0,38,0,2,34,0,2567.2204826067164,2567.2204826067164,0.0
39.0,39,0,2,35,0,2705.8852888475953,2705.8852888475953,0.0
40.0,40,0,2,36,0,2860.842681663517,2860.842681663517,0.0
41.0,41,0,2,37,0,3002.1767509902056,3002.1767509902056,0.0
42.0,42,0,2,38,0,3141.9856041086646,3141.9856041086646,0.0
43.0,43,0,2,39,0,3291.1707797074255,3291.1707797074255,0.0
44.0,44,0,2,40,0,3458.935597201145,3458.935597201145,0.0
45.0,45,0,2,41,0,3609.384229684911,3609.384229684911,0.0
46.0,46,0,2,42,0,3799.6424500071835,3799.6424500071835,0.0
47.0,47,0,2,42,0,3963.3123596918294,3963.3123596918294,0.0
48.0,48,0,2,43,1,4125.41085250824,4125.41085250824,0.0
49.0,49,0,1,44,1,4309.995157945228,4309.995157945228,0.0
50.0,50,0,1,46,1,4512.414727448654,4512.414727448654,0.0
51.0,51,0,2,46,2,4722.525775254054,4722.525775254054,0.0
52.0,52,0,2,46,2,4909.317448647272,4909.317448647272,0.0
53.0,53,0,2,47,3,5118.952119242268,5118.952119242268,0.0
54.0,54,0,2,48,5,5288.143929440099,5288.143929440099,0.0
55.0,55,0,3,48,5,5474.179541387012,5474.179541387012,0.0
56.0,56,0,3,48,5,5675.456811008424,5675.456811008424,0.0
57.0,57,0,3,47,5,5871.355042275995,5871.355042275995,0.0
58.0,58,0,3,49,5,6073.325212421615,6073.325212421615,0.0
59.0,59,0,3,50,6,6279.532739741346,6279.532739741346,0.0
60.0,60,0,4,50,6,6526.1222238131895,6526.1222238131895,0.0
61.0,61,0,4,50,6,6734.431881049864,6734.431881049864,0.0
62.0,62,0,4,50,6,6928.339222844659,6928.339222844659,0.0
63.0,63,0,5,51,6,7127.249617573408,7127.249617573408,0.0
64.0,64,0,5,52,6,7335.898231521542,7335.898231521542,0.0
65.0,65,0,5,53,7,7549.385229419962,7549.385229419962,0.0
66.0,66,0,5,53,7,7745.868325894384,7745.868325894384,0.0
67.0,67,0,5,54,8,7922.90760698118,7922.90760698118,0.0
68.0,68,0,6,54,9,8154.401240672966,8154.401240672966,0.0
69.0,69,0,6,55,9,8370.884317852033,8370.884317852033,0.0
70.0,70,0,6,56,10,8598.716327562377,8598.716327562377,0.0
71.0,71,0,6,56,10,8833.131272366145,8833.131272366145,0.0
72.0,72,0,6,56,11,9029.540668667178,9029.540668667178,0.0
73.0,73,0,6,57,11,9220.070144763687,9220.070144763687,0.0
74.0,74,0,6,58,12,9399.261850803525,9399.261850803525,0.0
75.0,75,0,7,57,13,9596.80559177746,9596.80559177746,0.0
76.0,76,0,7,57,13,9770.930916812373,9770.930916812373,0.0
77.0,77,0,8,58,16,9958.658410809818,9958.658410809818,0.0
78.0,78,0,8,59,17,10125.874306617688,10125.874306617688,0.0
79.0,79,0,8,59,17,10341.630912006312,10341.630912006312,0.0
80.0,80,0,8,60,20,10569.573782544587,10569.573782544587,0.0
81.0,81,0,8,61,20,10801.091998012345,10801.091998012345,0.0
82.0,82,0,8,62,20,11025.273594924383,11025.273594924383,0.0
83.0,83,0,8,63,20,11246.786051252153,11246.786051252153,0.0
84.0,84,0,8,64,20,11483.37678604942,11483.37678604942,0.0
85.0,85,0,8,65,20,11715.817413411352,11715.817413411352,0.0
86.0,86,0,7,66,21,11922.115845746875,11922.115845746875,0.0
87.0,87,0,7,67,22,12166.228955205755,12166.228955205755,0.0
88.0,88,0,6,68,22,12414.637620165366,12414.637620165366,0.0
89.0,89,0,6,68,22,12676.762307122788,12676.762307122788,0.0
90.0,90,0,6,69,24,12968.31275062575,12968.31275062575,0.0
91.0,91,0,6,71,24,13259.742140756754,13259.742140756754,0.0
92.0,92,0,7,71,25,13549.56176200637,13549.56176200637,0.0
93.0,93,0,7,72,27,13799.689945894102,13799.689945894102,0.0
94.0,94,0,7,73,27,14080.141333447877,14080.141333447877,0.0
95.0,95,0,7,74,27,14359.70990045166,14359.70990045166,0.0
96.0,96,0,7,75,28,14639.040839332387,14639.040839332387,0.0
97.0,97,0,7,75,30,14936.96040034191,14936.96040034191,0.0
98.0,98,0,7,76,30,15218.950713617609,15218.950713617609,0.0
99.0,99,0,7,78,30,15546.110275598014,15546.110275598014,0.0
100.0,100,0,7,79,31,15885.365610640987,15885.365610640987,0.0
101.0,101,0,7,79,32,16237.437109957982,16237.437109957982,0.0
102.0,102,0,7,79,33,16597.316962533787,16597.316962533787,0.0
103.0,103,0,7,79,33,16984.04783882356,16984.04783882356,0.0
104.0,104,0,7,78,34,17323.91006358988,17323.91006358988,0.0
105.0,105,0,7,77,34,17640.270694884493,17640.270694884493,0.0
106.0,106,0,7,76,35,17937.166540919625,17937.166540919625,0.0
107.0,107,0,7,76,36,18236.767656181477,18236.767656181477,0.0
108.0,108,0,7,76,36,18526.72405976258,18526.72405976258,0.0
109.0,109,0,7,76,37,18862.020944359654,18862.020944359654,0.0
110.0,110,0,7,76,37,19163.46173387058,19163.46173387058,0.0
111.0,111,0,7,75,37,19460.609407684,19460.609407684,0.0
112.0,112,0,7,75,37,19727.83466261459,19727.83466261459,0.0
113.0,113,0,6,75,37,20013.268766325466,20013.268766325466,0.0
114.0,114,0,6,75,37,20268.213680313544,20268.213680313544,0.0
115.0,115,0,6,75,37,20530.945565052327,20530.945565052327,0.0
116.0,116,0,6,75,37,20800.354781276943,20800.354781276943,0.0
117.0,117,0,6,75,37,21058.22353525318,21058.22353525318,0.0
118.0,118,0,6,74,37,21306.815027095818,21306.815027095818,0.0
119.0,119,0,6,74,37,21583.991138299305,21583.991138299305,0.0
120.0,120,0,6,74,37,21836.612540041075,21836.612540041075,0.0
121.0,121,0,6,73,37,22098.560025125014,22098.560025125014,0.0
122.0,122,0,6,73,37,22365.266316577505,22365.266316577505,0.0
123.0,123,0,6,73,37,22616.704022617152,22616.704022617152,0.0
124.0,124,0,6,73,37,22893.48069204645,22893.48069204645,0.0
125.0,125,0,6,73,37,23197.345802631495,23197.345802631495,0.0
126.0,126,0,6,72,37,23493.77884923145,23493.77884923145,0.0
127.0,127,0,6,72,39,23811.17867508853,23811.17867508853,0.0
128.0,128,0,6,71,40,24091.231393323345,24091.231393323345,0.0
129.0,129,0,5,71,41,24380.917468881555,24380.917468881555,0.0
130.0,130,0,5,70,42,24663.859024434863,24663.859024434863,0.0
131.0,131,0,5,70,43,24930.405957912175,24930.405957912175,0.0
132.0,132,0,5,70,43,25183.0928027705,25183.0928027705,0.0
133.0,133,0,5,70,43,25436.330484583377,25436.330484583377,0.0
134.0,134,0,5,70,44,25660.380288549688,25660.380288549688,0.0
135.0,135,0,5,70,45,25873.712405552877,25873.712405552877,0.0
136.0,136,0,5,69,46,26086.617870825557,26086.617870825557,0.0
137.0,137,0,5,69,47,26316.986642887165,26316.986642887165,0.0
138.0,138,0,5,69,49,26542.310994660595,26542.310994660595,0.0
139.0,139,0,5,69,50,26784.862565688756,26784.862565688756,0.0
140.0,140,0,5,69,50,27009.443691665994,27009.443691665994,0.0
141.0,141,0,5,68,51,27257.744731282553,27257.744731282553,0.0
142.0,142,0,5,68,52,27507.92647246166,27507.92647246166,0.0
143.0,143,0,5,68,54,27789.512780977348,27789.512780977348,0.0
144.0,144,0,5,68,55,28072.422390008687,28072.422390008687,0.0
145.0,145,0,5,67,56,28329.53825002191,28329.53825002191,0.0
146.0,146,0,4,67,56,28591.45318494827,28591.45318494827,0.0
147.0,147,0,4,65,57,28823.995086943847,28823.995086943847,0.0
148.0,148,0,4,64,57,28997.59250274066,28997.59250274066,0.0
149.0,149,0,4,63,58,29173.0064133706,29173.0064133706,0.0
