time,gasoline_co2,av_co2,total_gasoline,total_av,gasoline_vehicles,av_vehicles
1.0,2.624722222222222,0.0,2.624722222222222,0.0,1,0
2.0,5.584388395993635,0.0,8.209110618215856,0.0,2,0
3.0,9.825240821805657,0.0,18.034351440021513,0.0,3,0
4.0,15.883445066420402,0.0,33.91779650644192,0.0,4,0
5.0,20.90892990846782,0.0,54.826726414909736,0.0,5,0
6.0,28.091001717813224,0.0,82.91772813272296,0.0,6,0
7.0,39.51340692634316,0.0,122.43113505906612,0.0,7,0
8.0,48.845478330068936,0.0,171.27661338913506,0.0,7,1
9.0,44.50599516563318,0.0,215.78260855476825,0.0,8,1
10.0,41.86519604067096,0.0,257.6478045954392,0.0,9,1
11.0,52.55799650376714,0.0,310.2058010992063,0.0,10,1
12.0,44.7171332004927,0.0,354.922934299699,0.0,11,1
13.0,66.79333825067664,0.0,421.71627255037566,0.0,12,1
14.0,61.355184616466985,0.0,483.07145716684266,0.0,13,1
15.0,40.15213304476608,0.0,523.2235902116088,0.0,13,2
16.0,55.87946699978735,0.0,579.1030572113962,0.0,14,2
17.0,44.97135335448543,0.0,624.0744105658816,0.0,15,2
18.0,61.54276371210941,0.0,685.617174277991,0.0,16,2
19.0,61.56358170060931,0.0,747.1807559786004,0.0,17,2
20.0,81.54648804428409,0.0,828.7272440228844,0.0,18,2
21.0,101.97542435946035,0.0,930.7026683823448,0.0,19,2
22.0,85.73025555688547,0.0,1016.4329239392302,0.0,19,2
23.0,78.76551567448911,0.0,1095.1984396137193,0.0,20,2
24.0,94.37867387642446,0.0,1189.5771134901438,0.0,22,2
25.0,93.84607618603066,0.0,1283.4231896761744,0.0,23,2
26.0,99.91877430051268,0.0,1383.341963976687,0.0,23,2
27.0,108.4095500476383,0.0,1491.7515140243254,0.0,24,2
28.0,103.68152887558195,0.0,1595.4330428999074,0.0,25,2
29.0,97.99973292720149,0.0,1693.4327758271088,0.0,25,2
30.0,88.72822567368453,0.0,1782.1610015007934,0.0,26,2
31.0,88.94557207023715,0.0,1871.1065735710306,0.0,26,2
32.0,67.59489155612778,0.0,1938.7014651271584,0.0,26,2
33.0,116.03960695387126,0.0,2054.7410720810294,0.0,28,2
34.0,111.42942414020271,0.0,2166.170496221232,0.0,30,2
35.0,139.90906934992387,0.0,2306.079565571156,0.0,30,2
36.0,136.18115471223607,0.0,2442.260720283392,0.0,31,2
37.0,145.8185475823318,0.0,2588.0792678657235,0.0,32,2
38.0,160.84283733189238,0.0,2748.922105197616,0.0,33,2
39.0,140.93719194838488,0.0,2889.8592971460007,0.0,35,2
40.0,143.80606541311928,0.0,3033.66536255912,0.0,36,2
41.0,157.28977807232602,0.0,3190.955140631446,0.0,37,2
42.0,163.75215906399734,0.0,3354.707299695443,0.0,38,2
43.0,137.6981317759814,0.0,3492.4054314714244,0.0,39,2
44.0,147.69336327332175,0.0,3640.098794744746,0.0,39,3
45.0,173.36357343167242,0.0,3813.4623681764187,0.0,40,3
46.0,177.16705848854164,0.0,3990.62942666496,0.0,41,3
47.0,144.97580636992336,0.0,4135.605233034884,0.0,41,3
48.0,120.03880957974755,0.0,4255.644042614632,0.0,41,3
49.0,172.40299614416236,0.0,4428.047038758794,0.0,42,3
50.0,180.43939924353575,0.0,4608.48643800233,0.0,43,4
51.0,176.1672487912814,0.0,4784.653686793611,0.0,44,4
52.0,161.19721882439453,0.0,4945.8509056180055,0.0,44,4
53.0,177.08252855991137,0.0,5122.933434177917,0.0,45,4
54.0,175.78887143612653,0.0,5298.722305614043,0.0,46,4
55.0,200.51529559514194,0.0,5499.2376012091845,0.0,47,4
56.0,190.3826145429177,0.0,5689.620215752102,0.0,47,4
57.0,223.79000838498487,0.0,5913.4102241370865,0.0,47,4
58.0,196.97977333692674,0.0,6110.389997474013,0.0,47,5
59.0,217.76691179501458,0.0,6328.156909269028,0.0,48,5
60.0,236.06201754722358,0.0,6564.218926816251,0.0,49,5
61.0,171.36801730521574,0.0,6735.586944121467,0.0,48,6
62.0,175.67651693107447,0.0,6911.263461052542,0.0,48,6
63.0,200.02241601199157,0.0,7111.285877064533,0.0,49,6
64.0,223.75753618941394,0.0,7335.043413253948,0.0,50,6
65.0,206.1022635967142,0.0,7541.145676850661,0.0,51,6
66.0,197.22241780475315,0.0,7738.368094655414,0.0,51,6
67.0,208.7240376283638,0.0,7947.092132283778,0.0,53,6
68.0,199.6409240538367,0.0,8146.7330563376145,0.0,53,7
69.0,200.51569611030237,0.0,8347.248752447917,0.0,53,7
70.0,191.10438982418154,0.0,8538.353142272099,0.0,54,7
71.0,198.96409621229517,0.0,8737.317238484395,0.0,55,7
72.0,211.65512592593893,0.0,8948.972364410334,0.0,55,7
73.0,161.08963993163664,0.0,9110.062004341971,0.0,56,7
74.0,157.45317334853226,0.0,9267.515177690504,0.0,57,6
75.0,187.31757821838744,0.0,9454.832755908892,0.0,58,6
76.0,178.94881835972873,0.0,9633.781574268622,0.0,58,6
77.0,208.9991936661978,0.0,9842.780767934819,0.0,60,6
78.0,204.94898157915298,0.0,10047.729749513972,0.0,61,6
79.0,199.77836945536984,0.0,10247.508118969341,0.0,61,6
