time,gasoline_co2,av_co2,total_gasoline,total_av,gasoline_vehicles,av_vehicles,total_distance
1.0,2.624722222222222,0.0,2.624722222222222,0.0,1,0,0.0
2.0,5.584388395993635,0.0,8.209110618215856,0.0,2,0,1.3843032849719747
3.0,7.200518599583436,0.0,15.409629217799292,0.0,2,1,5.18539091614075
4.0,12.035952997659379,0.0,27.44558221545867,0.0,3,1,11.33722969063092
5.0,16.851011345455383,0.0,44.296593560914054,0.0,4,1,19.295202798536046
6.0,21.625452176506492,0.0,65.92204573742055,0.0,5,1,28.031877263262867
7.0,32.86001141830677,0.0,98.78205715572732,0.0,6,1,41.158317111618814
8.0,41.933877887390885,0.0,140.7159350431182,0.0,6,2,56.29110695417038
9.0,33.927177085274835,0.0,174.64311212839306,0.0,7,2,68.29948449335241
10.0,36.68296783496352,0.0,211.32607996335656,0.0,7,2,78.10629189046567
11.0,47.77359166698996,0.0,259.0996716303465,0.0,9,2,89.8673676443211
12.0,44.43809100416738,0.0,303.5377626345139,0.0,10,2,97.5744901654807
13.0,58.46509467529172,0.0,362.0028573098056,0.0,11,2,108.17877333651322
14.0,60.19291097313229,0.0,422.19576828293793,0.0,12,2,117.32674638200155
15.0,42.82557816275895,0.0,465.0213464456969,0.0,13,2,115.46633816080117
16.0,54.73092760011089,0.0,519.7522740458078,0.0,14,2,123.59403333140531
17.0,52.810897258547534,0.0,572.5631713043554,0.0,15,2,132.2200858225291
18.0,58.15896132349652,0.0,630.7221326278519,0.0,16,2,137.7637156832109
19.0,62.8545903848452,0.0,693.5767230126971,0.0,17,2,149.45312010549068
20.0,74.1773986524537,0.0,767.7541216651508,0.0,18,2,168.0196267511668
21.0,90.42007451619597,0.0,858.1741961813468,0.0,18,2,190.73314249252186
22.0,78.93826317313311,0.0,937.1124593544799,0.0,18,2,208.26058263152132
23.0,59.92200402092736,0.0,997.0344633754073,0.0,18,2,207.17483253684367
24.0,72.7125248861918,0.0,1069.7469882615992,0.0,18,2,216.07529327595415
25.0,72.36457738073362,0.0,1142.1115656423328,0.0,18,2,217.16686267214342
26.0,61.355248513426176,0.0,1203.466814155759,0.0,17,2,213.6974898236566
27.0,54.8865084763635,0.0,1258.3533226321226,0.0,17,2,218.73518474368205
28.0,52.227822671954456,0.0,1310.5811453040772,0.0,17,2,210.6750105924314
29.0,54.04909893411578,0.0,1364.630244238193,0.0,16,2,198.69710083929675
30.0,54.0348979473159,0.0,1418.6651421855088,0.0,16,2,191.62767495904802
31.0,43.34701891908345,0.0,1462.0121611045922,0.0,16,2,177.73025275934174
32.0,50.5859813752853,0.0,1512.5981424798774,0.0,16,2,176.06411992383414
