time,vehicle_id,edge_id,duration,total_count
640.0,dyn_2184,6,1.0,177
646.0,dyn_2205,6,1.0,178
646.0,dyn_2208,-8,1.0,179
651.0,dyn_2181,-9,1.0,180
654.0,dyn_2151,4,1.0,181
655.0,dyn_2204,-10,1.0,182
656.0,dyn_2155,4,1.0,183
660.0,dyn_2199,-9,1.0,184
662.0,dyn_2196,-9,1.0,185
663.0,dyn_2197,-9,1.0,186
664.0,dyn_2187,-9,1.0,187
666.0,dyn_2209,-9,1.0,188
676.0,dyn_2193,4,1.0,189
677.0,dyn_2202,4,1.0,190
678.0,dyn_2231,-8,1.0,191
680.0,dyn_2209,-9,1.0,192
682.0,dyn_2211,-9,1.0,193
683.0,dyn_2203,-9,1.0,194
685.0,dyn_2212,-9,1.0,195
687.0,dyn_2213,-9,1.0,196
689.0,dyn_2180,-8,1.0,197
690.0,dyn_2181,-8,1.0,198
691.0,dyn_2199,-8,1.0,199
693.0,dyn_2196,-8,1.0,200
696.0,dyn_2197,-8,1.0,201
698.0,dyn_2230,-8,1.0,202
707.0,dyn_2202,3,1.0,203
712.0,dyn_2194,5,1.0,204
714.0,dyn_2201,5,1.0,205
715.0,dyn_2184,5,1.0,206
717.0,dyn_2205,5,1.0,207
720.0,dyn_2215,6,1.0,208
724.0,dyn_2214,-9,1.0,209
727.0,dyn_2232,4,1.0,210
742.0,dyn_2245,-10,1.0,211
744.0,dyn_2194,4,1.0,212
744.0,dyn_2209,-8,1.0,213
747.0,dyn_2201,4,1.0,214
748.0,dyn_2211,-8,1.0,215
749.0,dyn_2203,-8,1.0,216
756.0,dyn_2213,-8,1.0,217
758.0,dyn_2228,-8,1.0,218
761.0,dyn_2221,4,1.0,219
761.0,dyn_2225,-8,1.0,220
762.0,dyn_2223,4,1.0,221
768.0,dyn_2224,-8,1.0,222
771.0,dyn_2235,-8,1.0,223
784.0,dyn_2218,4,1.0,224
785.0,dyn_2226,4,1.0,225
785.0,dyn_2243,-9,1.0,226
788.0,dyn_2245,-9,1.0,227
801.0,dyn_2221,3,1.0,228
