time,vehicle_id,L,S,R,signal_state,new_lane,previous_lane
857.0,dyn_2330,87.27762600000001,947.0,889.0,GREEN,174032654#1_0,174032654#0_0
862.0,dyn_2307,58.86948730261952,900.0,933.0,,174274266#3_0,174274266#2_0
865.0,dyn_2316,60.83891786841303,900.0,933.0,,174274266#3_0,174274266#2_0
871.0,dyn_2323,15.228039999999975,900.0,939.0,,67792292_0,170841497#10_0
875.0,dyn_2330,136.33647000000002,900.0,939.0,GREEN,-174032654#0_0,-174032654#1_0
884.0,dyn_2347,62.566028,900.0,933.0,,174274266#3_0,174274266#2_0
895.0,dyn_2355,43.329351666666675,900.0,939.0,,-174032652#1_0,-174032652#2_0
911.0,dyn_2358,47.111,1001.0,933.0,,-174274266#2_0,-174274266#3_0
913.0,dyn_2323,46.1282,1003.0,933.0,,174274266#2_0,174274266#1_0
920.0,dyn_2317,63.557542662209684,1010.0,939.0,,-67792293#3_0,-67792293#4_0
921.0,dyn_2343,58.768862575255724,1011.0,933.0,,174274266#3_0,174274266#2_0
922.0,dyn_2335,43.69747229510174,1012.0,933.0,,-174274266#2_0,-174274266#3_0
929.0,dyn_2327,14.874824000000002,1019.0,939.0,,-67792293#0_0,-67792293#1_0
935.0,dyn_2317,16.054185559441965,1025.0,939.0,,-170841497#10_0,-67792293#0_0
942.0,dyn_2333,170.79752199999993,1032.0,982.0,GREEN,-170841497#1_0,-170841497#2_0
958.0,dyn_2357,61.16182399014732,990.0,1023.0,,174274266#3_0,174274266#2_0
959.0,dyn_2364,296.5600124643869,1049.0,982.0,GREEN,-170841497#4_0,-170841497#5_0
971.0,dyn_2357,60.41926556682165,990.0,1023.0,,174274266#7_0,174274266#6_0
976.0,dyn_2360,43.87700543629533,990.0,1023.0,,-174274266#2_0,-174274266#3_0
976.0,dyn_2364,339.2665564643869,1066.0,982.0,GREEN,-170841497#3_0,-170841497#4_0
981.0,dyn_2372,98.21726,990.0,1029.0,,67792293#1_0,67792292_0
995.0,dyn_2364,1247.525024464387,1085.0,1072.0,GREEN,-170841497#2_0,-170841497#3_0
1010.0,dyn_2374,47.31522400000001,1100.0,1023.0,,-174274266#2_0,-174274266#3_0
1012.0,dyn_2357,42.51312798931106,1102.0,1029.0,,174032652#1_0,174032652#0_0
1012.0,dyn_2366,64.20710932537982,1102.0,1023.0,,174274266#3_0,174274266#2_0
1017.0,dyn_2333,1252.3679619999998,1107.0,1072.0,GREEN,170841497#2_0,170841497#1_0
1029.0,dyn_2357,80.64303598931109,1119.0,1069.0,GREEN,174032654#1_0,174032654#0_0
1062.0,dyn_2364,166.68966846438738,1152.0,1072.0,GREEN,-170841497#1_0,-170841497#2_0
1072.0,dyn_2364,213.04447846438734,,,GREEN,-170841497#0_0,-170841497#1_0
1102.0,dyn_2364,168.53398746438728,1192.0,1162.0,GREEN,170841497#1_0,170841497#0_0
1116.0,dyn_2333,340.44752199999994,1206.0,1162.0,GREEN,170841497#3_0,170841497#2_0
1144.0,dyn_2333,299.137522,1234.0,1162.0,GREEN,170841497#4_0,170841497#3_0
1171.0,dyn_2333,44.71918519999996,1261.0,1252.0,GREEN,170841497#5_0,170841497#4_0
