time,step,vehicle_count,av_count,gasoline_count,total_stops,total_co2,gasoline_co2,av_co2
1.0,1,0,1,0,0,0.0,0.0,0.0
2.0,2,0,1,1,0,2.624722222222222,2.624722222222222,0.0
3.0,3,0,2,1,0,6.180998190402887,6.180998190402887,0.0
4.0,4,0,2,2,0,13.887713100506549,13.887713100506549,0.0
5.0,5,0,2,3,0,25.354551572505013,25.354551572505013,0.0
6.0,6,0,2,4,0,41.890593862869466,41.890593862869466,0.0
7.0,7,0,2,5,0,67.06787417446797,67.06787417446797,0.0
8.0,8,0,2,6,0,101.10339139533872,101.10339139533872,0.0
9.0,9,0,2,7,0,132.46029990535519,132.46029990535519,0.0
10.0,10,0,2,7,0,173.45904640426005,173.45904640426005,0.0
11.0,11,0,2,9,0,220.16025474177422,220.16025474177422,0.0
12.0,12,0,2,10,0,269.76731703666087,269.76731703666087,0.0
13.0,13,0,2,11,0,334.24590377255333,334.24590377255333,0.0
14.0,14,0,2,12,0,394.2447247623953,394.2447247623953,0.0
15.0,15,0,2,13,0,438.0641109514758,438.0641109514758,0.0
16.0,16,0,2,14,0,488.90791818697426,488.90791818697426,0.0
17.0,17,0,2,15,0,533.8707758194516,533.8707758194516,0.0
18.0,18,0,2,16,0,592.0297371429482,592.0297371429482,0.0
19.0,19,0,2,17,0,654.8843275277934,654.8843275277934,0.0
20.0,20,0,2,18,0,721.4771801835166,721.4771801835166,0.0
21.0,21,0,2,19,0,809.9077514595222,809.9077514595222,0.0
22.0,22,0,2,19,0,892.0126130407635,892.0126130407635,0.0
23.0,23,0,2,20,0,963.8351727284548,963.8351727284548,0.0
24.0,24,0,2,22,0,1051.5636841349078,1051.5636841349078,0.0
25.0,25,0,2,23,0,1139.7643180512114,1139.7643180512114,0.0
26.0,26,0,2,23,0,1234.5595081267581,1234.5595081267581,0.0
27.0,27,0,3,23,0,1325.763832953497,1325.763832953497,0.0
28.0,28,0,3,24,0,1407.8127314593507,1407.8127314593507,0.0
29.0,29,0,3,24,0,1482.7653529275992,1482.7653529275992,0.0
30.0,30,0,3,25,0,1566.6704653398858,1566.6704653398858,0.0
31.0,31,0,3,25,0,1642.5900028632138,1642.5900028632138,0.0
32.0,32,0,3,25,0,1716.007453169552,1716.007453169552,0.0
33.0,33,0,4,26,0,1814.8398724586727,1814.8398724586727,0.0
34.0,34,0,4,27,0,1913.3595194374473,1913.3595194374473,0.0
35.0,35,0,4,28,0,2048.570573449599,2048.570573449599,0.0
36.0,36,0,5,28,0,2159.188254486568,2159.188254486568,0.0
37.0,37,0,5,28,0,2289.3010127058574,2289.3010127058574,0.0
38.0,38,0,5,30,0,2429.1275314757986,2429.1275314757986,0.0
39.0,39,0,5,31,0,2557.731431837752,2557.731431837752,0.0
40.0,40,0,5,33,0,2693.3423770937034,2693.3423770937034,0.0
41.0,41,0,5,34,0,2820.3963604812625,2820.3963604812625,0.0
42.0,42,0,5,35,0,2967.754217547348,2967.754217547348,0.0
43.0,43,0,5,36,0,3100.9272414882753,3100.9272414882753,0.0
44.0,44,0,5,37,0,3261.6160556071,3261.6160556071,0.0
45.0,45,0,5,38,0,3405.712878640354,3405.712878640354,0.0
46.0,46,0,5,39,0,3577.463087178496,3577.463087178496,0.0
47.0,47,0,5,39,0,3734.5251372540974,3734.5251372540974,0.0
48.0,48,0,5,40,1,3891.6746659899104,3891.6746659899104,0.0
49.0,49,0,4,41,1,4075.041459012047,4075.041459012047,0.0
50.0,50,0,4,43,1,4262.527552730794,4262.527552730794,0.0
