time,vehicle_id,edge_id,duration
48.0,13,-174032652#0,1.0
50.0,25,67792293#4,1.0
52.0,5,174274266#7,1.0
54.0,41,170841497#7,1.0
54.0,11,-174032652#0,1.0
59.0,9,-174032652#0,1.0
62.0,31,-174032652#0,1.0
67.0,17,174274266#7,1.0
67.0,20,67792293#4,1.0
69.0,7,174274266#7,1.0
72.0,46,67792293#4,1.0
74.0,18,174274266#7,1.0
74.0,36,67792293#4,1.0
75.0,30,174274266#7,1.0
77.0,37,170841497#7,1.0
77.0,34,67792293#4,1.0
79.0,0,67792293#3,1.0
79.0,8,174274266#7,1.0
80.0,44,-174032652#0,1.0
83.0,24,-174274266#1,1.0
86.0,52,-174032652#0,1.0
87.0,32,67792293#3,1.0
90.0,81,-170841497#8,1.0
90.0,16,174274266#7,1.0
93.0,63,-174032652#0,1.0
94.0,61,174274266#7,1.0
97.0,17,174274266#7,1.0
97.0,78,-174032652#0,1.0
98.0,7,174274266#7,1.0
99.0,18,174274266#7,1.0
102.0,30,174274266#7,1.0
103.0,8,174274266#7,1.0
104.0,16,174274266#7,1.0
106.0,61,174274266#7,1.0
107.0,67,174274266#7,1.0
126.0,44,-174274266#1,1.0
127.0,13,-67792293#3,1.0
127.0,63,-174274266#2,1.0
128.0,78,-174274266#2,1.0
128.0,11,-67792293#3,1.0
131.0,31,-67792293#3,1.0
131.0,74,-174274266#2,1.0
135.0,55,-170841497#8,1.0
136.0,81,67792293#4,1.0
136.0,20,174274266#7,1.0
139.0,108,170841497#7,1.0
139.0,96,67792293#4,1.0
139.0,0,174274266#7,1.0
140.0,91,-174032652#0,1.0
140.0,18,174032652#4,1.0
141.0,87,-174274266#1,1.0
141.0,89,67792293#4,1.0
142.0,102,-174032652#0,1.0
143.0,48,174274266#7,1.0
143.0,98,174032652#4,1.0
145.0,72,174274266#7,1.0
146.0,66,174274266#7,1.0
148.0,115,-174032652#0,1.0
148.0,57,174274266#7,1.0
149.0,79,-174274266#2,1.0
149.0,128,-170841497#8,1.0
151.0,70,174274266#7,1.0
