time,vehicle_id,edge_id,duration
153.0,117,174032652#4,1.0
156.0,69,-174032652#0,1.0
156.0,29,174032652#4,1.0
156.0,119,67792293#4,1.0
160.0,101,174274266#6,1.0
161.0,41,174274266#6,1.0
162.0,51,174274266#6,1.0
162.0,136,-174032652#0,1.0
162.0,123,67792293#4,1.0
164.0,97,174274266#6,1.0
165.0,76,174274266#3,1.0
166.0,114,174274266#3,1.0
167.0,63,-174274266#1,1.0
168.0,94,174274266#3,1.0
168.0,78,-174274266#1,1.0
168.0,112,67792293#3,1.0
170.0,74,-174274266#1,1.0
171.0,79,-174274266#1,1.0
172.0,125,67792293#3,1.0
172.0,158,174274266#6,1.0
175.0,110,174274266#6,1.0
176.0,71,-174274266#1,1.0
178.0,154,174274266#3,1.0
178.0,145,-174032654#1,1.0
178.0,65,-174274266#1,1.0
181.0,42,-174274266#1,1.0
185.0,87,-174274266#1,1.0
186.0,80,-174274266#1,1.0
188.0,106,-174274266#1,1.0
188.0,63,-174274266#1,1.0
188.0,84,-67792293#1,1.0
189.0,78,-174274266#1,1.0
190.0,48,174274266#7,1.0
190.0,74,-174274266#1,1.0
190.0,109,-174274266#1,1.0
191.0,79,-174274266#1,1.0
191.0,83,-174274266#1,1.0
192.0,72,174274266#7,1.0
193.0,66,174274266#7,1.0
193.0,71,-174274266#1,1.0
194.0,104,-174274266#1,1.0
194.0,57,174274266#7,1.0
194.0,65,-174274266#1,1.0
197.0,70,174274266#7,1.0
197.0,42,-174274266#1,1.0
198.0,80,-174274266#1,1.0
199.0,106,-174274266#1,1.0
199.0,190,174274266#6,1.0
201.0,104,-174274266#1,1.0
201.0,109,-174274266#1,1.0
202.0,81,174274266#3,1.0
202.0,83,-174274266#1,1.0
203.0,63,-174274266#1,1.0
204.0,141,-174274266#1,1.0
204.0,78,-174274266#1,1.0
205.0,89,174274266#3,1.0
207.0,74,-174274266#1,1.0
208.0,79,-174274266#1,1.0
208.0,119,174274266#3,1.0
210.0,71,-174274266#1,1.0
211.0,91,-174274266#1,1.0
211.0,65,-174274266#1,1.0
211.0,123,174274266#3,1.0
213.0,42,-174274266#1,1.0
214.0,80,-174274266#1,1.0
214.0,126,174274266#2,1.0
216.0,66,174274266#7,1.0
217.0,57,174274266#7,1.0
218.0,74,-174274266#1,1.0
219.0,70,174274266#7,1.0
219.0,144,174274266#2,1.0
220.0,79,-174274266#1,1.0
221.0,71,-174274266#1,1.0
222.0,65,-174274266#1,1.0
224.0,42,-174274266#1,1.0
225.0,80,-174274266#1,1.0
225.0,57,174274266#7,1.0
226.0,106,-174274266#1,1.0
227.0,70,174274266#7,1.0
228.0,48,174032652#4,1.0
228.0,109,-174274266#1,1.0
229.0,187,67792293#4,1.0
229.0,83,-174274266#1,1.0
232.0,104,-174274266#1,1.0
233.0,149,-174274266#2,1.0
233.0,141,-174274266#1,1.0
234.0,88,174274266#7,1.0
234.0,174,-174274266#2,1.0
234.0,157,67792293#4,1.0
234.0,91,-174274266#1,1.0
235.0,115,-174274266#1,1.0
235.0,102,-174274266#1,1.0
236.0,171,-174274266#2,1.0
236.0,69,-174274266#1,1.0
236.0,101,174274266#7,1.0
237.0,173,-174274266#2,1.0
238.0,115,-174274266#1,1.0
238.0,41,174274266#7,1.0
238.0,145,-174274266#2,1.0
238.0,107,174274266#2,1.0
239.0,69,-174274266#1,1.0
239.0,184,-174274266#3,1.0
240.0,153,-174274266#2,1.0
240.0,133,174274266#7,1.0
240.0,147,174274266#2,1.0
241.0,136,-174274266#1,1.0
241.0,82,-174274266#3,1.0
242.0,156,174274266#2,1.0
242.0,142,-174274266#3,1.0
243.0,110,174274266#6,1.0
243.0,137,174274266#7,1.0
243.0,176,67792293#4,1.0
244.0,190,174274266#6,1.0
245.0,163,174274266#1,1.0
245.0,164,174274266#7,1.0
246.0,139,174274266#2,1.0
247.0,131,-174274266#3,1.0
247.0,78,-170841497#8,1.0
248.0,174,-174274266#2,1.0
249.0,171,-174274266#2,1.0
249.0,149,-174274266#1,1.0
250.0,173,-174274266#2,1.0
251.0,124,-174274266#3,1.0
253.0,145,-174274266#2,1.0
255.0,182,-174274266#3,1.0
255.0,153,-174274266#2,1.0
257.0,177,-174274266#2,1.0
261.0,181,67792293#4,1.0
266.0,160,-174274266#3,1.0
267.0,169,67792293#4,1.0
268.0,146,-174274266#3,1.0
269.0,100,-174274266#3,1.0
271.0,162,67792293#3,1.0
277.0,110,174274266#6,1.0
278.0,190,174274266#6,1.0
278.0,189,-174274266#4,1.0
279.0,76,174274266#6,1.0
281.0,114,174274266#6,1.0
281.0,65,-174274266#1,1.0
283.0,42,-174274266#1,1.0
284.0,80,-174274266#1,1.0
286.0,106,-174274266#1,1.0
287.0,109,-174274266#1,1.0
288.0,157,174274266#1,1.0
288.0,83,-174274266#1,1.0
289.0,104,-174274266#1,1.0
291.0,141,-174274266#1,1.0
291.0,176,174274266#1,1.0
292.0,91,-174274266#1,1.0
293.0,181,174274266#1,1.0
294.0,169,174274266#1,1.0
295.0,190,-174274266#6,1.0
296.0,171,-174274266#2,1.0
300.0,114,-174274266#6,1.0
306.0,145,-174274266#2,1.0
308.0,153,-174274266#2,1.0
308.0,141,-174274266#1,1.0
309.0,177,-174274266#2,1.0
310.0,91,-174274266#1,1.0
310.0,184,-174274266#2,1.0
310.0,131,-174274266#3,1.0
311.0,124,-174274266#3,1.0
312.0,102,-174274266#1,1.0
313.0,182,-174274266#3,1.0
314.0,99,67792293#4,1.0
314.0,115,-174274266#1,1.0
314.0,193,-174274266#4,1.0
315.0,69,-174274266#1,1.0
316.0,144,174274266#7,1.0
316.0,136,-174274266#1,1.0
317.0,107,174274266#7,1.0
318.0,149,-174274266#1,1.0
318.0,114,-174274266#6,1.0
319.0,129,-174274266#1,1.0
319.0,156,174274266#7,1.0
320.0,174,-174274266#1,1.0
321.0,171,-174274266#1,1.0
322.0,139,174274266#7,1.0
323.0,145,-174274266#1,1.0
323.0,65,-170841497#8,1.0
324.0,153,-174274266#1,1.0
324.0,163,174274266#7,1.0
326.0,184,-174274266#1,1.0
327.0,177,-174274266#1,1.0
329.0,184,-174274266#1,1.0
329.0,82,-174274266#1,1.0
330.0,176,174274266#7,1.0
331.0,131,-174274266#1,1.0
332.0,90,67792293#4,1.0
335.0,169,174274266#7,1.0
335.0,127,-174274266#2,1.0
335.0,146,-174274266#1,1.0
336.0,195,174274266#6,1.0
336.0,175,174274266#7,1.0
336.0,109,-170841497#8,1.0
337.0,159,-174274266#2,1.0
338.0,189,-174274266#2,1.0
338.0,196,174274266#6,1.0
340.0,116,170841497#7,1.0
341.0,180,-174274266#3,1.0
341.0,193,-174274266#2,1.0
342.0,198,-174274266#3,1.0
342.0,158,-174274266#2,1.0
343.0,190,-174274266#2,1.0
399.0,82,-174274266#1,1.0
401.0,131,-174274266#1,1.0
401.0,118,67792292,1.0
403.0,146,-174274266#1,1.0
403.0,19,67792292,1.0
405.0,127,-174274266#1,1.0
407.0,189,-174274266#1,1.0
408.0,193,-174274266#1,1.0
410.0,158,-174274266#1,1.0
411.0,198,-174274266#1,1.0
411.0,190,-174274266#1,1.0
413.0,136,-170841497#8,1.0
416.0,149,-170841497#8,1.0
416.0,145,-170841497#9,1.0
424.0,184,-170841497#9,1.0
432.0,118,67792293#4,1.0
434.0,19,67792293#4,1.0
496.0,146,-170841497#8,1.0
514.0,62,170841497#7,1.0
596.0,62,174274266#7,1.0
