time,step,vehicle_count,av_count,gasoline_count,total_stops,total_co2,gasoline_co2,av_co2
1.0,1,0,0,1,0,2.624722222222222,2.624722222222222,0.0
2.0,2,0,0,2,0,8.209110618215856,8.209110618215856,0.0
3.0,3,0,0,3,0,18.034351440021513,18.034351440021513,0.0
4.0,4,0,0,4,0,33.91779650644192,33.91779650644192,0.0
5.0,5,0,0,5,0,54.82672641490973,54.82672641490973,0.0
6.0,6,0,0,6,0,82.91772813272294,82.91772813272294,0.0
7.0,7,0,0,7,0,122.4311350590661,122.4311350590661,0.0
8.0,8,0,0,8,0,173.90133561135727,173.90133561135727,0.0
9.0,9,0,0,9,0,222.23890867234928,222.23890867234928,0.0
10.0,10,0,0,10,0,268.4198833769616,268.4198833769616,0.0
11.0,11,0,0,11,0,326.5192071072677,326.5192071072677,0.0
12.0,12,0,0,12,0,376.4053115984796,376.4053115984796,0.0
13.0,13,0,0,13,0,449.21214190975695,449.21214190975695,0.0
14.0,14,0,0,14,0,516.7267044756782,516.7267044756782,0.0
15.0,15,0,0,15,0,562.4874233673185,562.4874233673185,0.0
16.0,16,0,0,16,0,625.669662349787,625.669662349787,0.0
17.0,17,0,0,17,0,676.8419539889683,676.8419539889683,0.0
18.0,18,0,0,18,0,742.795627787311,742.795627787311,0.0
19.0,19,0,1,18,0,807.0171822851759,807.0171822851759,0.0
20.0,20,0,1,19,0,890.3260629290512,890.3260629290512,0.0
21.0,21,0,1,20,0,991.7618498919054,991.7618498919054,0.0
22.0,22,0,1,20,0,1076.785171206436,1076.785171206436,0.0
23.0,23,0,1,21,0,1159.033865594181,1159.033865594181,0.0
24.0,24,0,1,23,0,1256.2202627278778,1256.2202627278778,0.0
25.0,25,0,1,24,0,1357.2524907707855,1357.2524907707855,0.0
26.0,26,0,1,24,0,1469.1951735610828,1469.1951735610828,0.0
27.0,27,0,1,25,0,1591.8471547904544,1591.8471547904544,0.0
28.0,28,0,1,26,0,1698.548469442012,1698.548469442012,0.0
29.0,29,0,2,25,0,1798.0860511834148,1798.0860511834148,0.0
30.0,30,0,2,26,0,1881.863936421639,1881.863936421639,0.0
31.0,31,0,2,26,0,1962.1113647399338,1962.1113647399338,0.0
32.0,32,0,2,26,0,2030.4892778510273,2030.4892778510273,0.0
33.0,33,0,2,28,0,2138.383869272857,2138.383869272857,0.0
34.0,34,0,2,30,0,2235.3677271779316,2235.3677271779316,0.0
35.0,35,0,2,31,0,2375.6521299846054,2375.6521299846054,0.0
36.0,36,0,2,32,0,2509.09244442737,2509.09244442737,0.0
37.0,37,0,2,33,0,2650.935406676364,2650.935406676364,0.0
38.0,38,0,2,34,0,2805.308704543251,2805.308704543251,0.0
39.0,39,0,2,35,0,2960.372049373213,2960.372049373213,0.0
40.0,40,0,2,36,0,3108.257462042912,3108.257462042912,0.0
41.0,41,0,2,37,0,3265.0130072911943,3265.0130072911943,0.0
42.0,42,0,2,38,0,3425.161414172173,3425.161414172173,0.0
43.0,43,0,2,39,0,3558.6745172249575,3558.6745172249575,0.0
44.0,44,0,2,40,0,3713.604663060609,3713.604663060609,0.0
45.0,45,0,2,41,0,3880.1393178701737,3880.1393178701737,0.0
46.0,46,0,2,42,0,4079.3412540027944,4079.3412540027944,0.0
47.0,47,0,2,42,0,4244.803738625757,4244.803738625757,0.0
48.0,48,0,2,42,1,4388.394676846843,4388.394676846843,0.0
49.0,49,0,2,43,1,4569.116642997223,4569.116642997223,0.0
50.0,50,0,2,45,2,4766.284933025284,4766.284933025284,0.0
51.0,51,0,2,46,2,4970.474921023616,4970.474921023616,0.0
52.0,52,0,2,46,3,5144.299271607256,5144.299271607256,0.0
53.0,53,0,2,47,3,5319.962957399383,5319.962957399383,0.0
54.0,54,0,2,48,5,5507.522706379354,5507.522706379354,0.0
55.0,55,0,2,49,5,5707.4656263916595,5707.4656263916595,0.0
56.0,56,0,2,49,5,5896.41827642258,5896.41827642258,0.0
57.0,57,0,2,49,5,6112.3238478973,6112.3238478973,0.0
58.0,58,0,2,49,5,6321.611680011327,6321.611680011327,0.0
59.0,59,0,2,50,6,6559.281554581161,6559.281554581161,0.0
60.0,60,0,2,51,6,6812.447952056585,6812.447952056585,0.0
61.0,61,0,2,51,6,7034.579315574777,7034.579315574777,0.0
62.0,62,0,2,51,7,7236.121420459896,7236.121420459896,0.0
63.0,63,0,2,52,7,7444.863047128458,7444.863047128458,0.0
64.0,64,0,2,53,7,7662.59197015764,7662.59197015764,0.0
65.0,65,0,3,53,7,7873.184665068863,7873.184665068863,0.0
66.0,66,0,4,52,7,8066.389541745695,8066.389541745695,0.0
67.0,67,0,4,53,9,8263.379362673591,8263.379362673591,0.0
68.0,68,0,5,54,9,8471.957216717532,8471.957216717532,0.0
69.0,69,0,5,55,10,8657.037444775027,8657.037444775027,0.0
70.0,70,0,6,55,10,8875.207660273441,8875.207660273441,0.0
71.0,71,0,6,56,10,9094.449877013256,9094.449877013256,0.0
72.0,72,0,6,56,11,9307.536147062363,9307.536147062363,0.0
73.0,73,0,6,57,11,9484.203147270558,9484.203147270558,0.0
74.0,74,0,6,58,13,9686.249047687837,9686.249047687837,0.0
75.0,75,0,6,58,14,9872.852406323214,9872.852406323214,0.0
76.0,76,0,6,58,14,10069.481245601104,10069.481245601104,0.0
77.0,77,0,6,60,16,10285.932270748532,10285.932270748532,0.0
78.0,78,0,6,61,16,10504.881028779739,10504.881028779739,0.0
79.0,79,0,7,60,18,10719.564178906721,10719.564178906721,0.0
80.0,80,0,7,61,19,10974.603805524745,10974.603805524745,0.0
81.0,81,0,8,61,19,11232.11154079489,11232.11154079489,0.0
82.0,82,0,8,62,19,11484.45433211766,11484.45433211766,0.0
83.0,83,0,8,63,20,11703.049348697095,11703.049348697095,0.0
84.0,84,0,9,63,20,11902.479081829715,11902.479081829715,0.0
85.0,85,0,9,64,20,12090.408249938191,12090.408249938191,0.0
86.0,86,0,9,65,21,12271.956631697618,12271.956631697618,0.0
87.0,87,0,9,64,22,12489.904567110621,12489.904567110621,0.0
88.0,88,0,10,64,22,12727.775539048127,12727.775539048127,0.0
89.0,89,0,10,64,22,12987.945660121315,12987.945660121315,0.0
90.0,90,0,10,65,24,13226.10951277327,13226.10951277327,0.0
91.0,91,0,10,67,24,13491.89040521812,13491.89040521812,0.0
92.0,92,0,10,68,24,13743.754135090383,13743.754135090383,0.0
93.0,93,0,11,68,25,14022.279416259584,14022.279416259584,0.0
94.0,94,0,11,69,26,14290.718797165575,14290.718797165575,0.0
95.0,95,0,11,70,26,14561.937326627787,14561.937326627787,0.0
96.0,96,0,11,71,26,14824.308534982478,14824.308534982478,0.0
97.0,97,0,11,71,28,15084.673952201909,15084.673952201909,0.0
98.0,98,0,11,72,29,15334.256740160146,15334.256740160146,0.0
99.0,99,0,11,74,30,15621.659444887968,15621.659444887968,0.0
100.0,100,0,11,75,30,15932.86198344876,15932.86198344876,0.0
101.0,101,0,11,75,30,16269.31508727427,16269.31508727427,0.0
102.0,102,0,11,77,31,16648.391655029973,16648.391655029973,0.0
103.0,103,0,11,78,32,16990.387152813884,16990.387152813884,0.0
104.0,104,0,11,78,33,17294.290114190248,17294.290114190248,0.0
105.0,105,0,11,78,33,17588.723830123214,17588.723830123214,0.0
106.0,106,0,11,78,34,17918.168594712002,17918.168594712002,0.0
107.0,107,0,11,78,35,18226.935573156254,18226.935573156254,0.0
108.0,108,0,11,78,35,18546.64823936663,18546.64823936663,0.0
109.0,109,0,11,79,35,18880.132439753947,18880.132439753947,0.0
110.0,110,0,11,80,35,19215.2050095042,19215.2050095042,0.0
111.0,111,0,11,80,35,19533.089522336726,19533.089522336726,0.0
112.0,112,0,12,81,35,19854.401671300195,19854.401671300195,0.0
113.0,113,0,12,83,35,20174.72991085965,20174.72991085965,0.0
114.0,114,0,12,84,35,20485.73922001809,20485.73922001809,0.0
115.0,115,0,12,85,35,20822.30412519765,20822.30412519765,0.0
116.0,116,0,12,85,35,21139.025413368425,21139.025413368425,0.0
117.0,117,0,12,86,35,21492.920143134084,21492.920143134084,0.0
118.0,118,0,12,86,35,21840.429042875476,21840.429042875476,0.0
119.0,119,0,12,86,35,22195.684262404637,22195.684262404637,0.0
120.0,120,0,12,88,35,22516.27290712818,22516.27290712818,0.0
121.0,121,0,12,89,35,22830.33388740228,22830.33388740228,0.0
122.0,122,0,12,89,35,23140.92980371036,23140.92980371036,0.0
123.0,123,0,12,90,35,23457.95723754224,23457.95723754224,0.0
124.0,124,0,12,91,35,23768.858766597463,23768.858766597463,0.0
125.0,125,0,13,91,35,24105.75769200024,24105.75769200024,0.0
126.0,126,0,13,92,36,24479.288894817048,24479.288894817048,0.0
127.0,127,0,13,92,38,24868.816015067656,24868.816015067656,0.0
128.0,128,0,13,92,40,25248.336649424993,25248.336649424993,0.0
129.0,129,0,13,93,40,25620.692983049055,25620.692983049055,0.0
130.0,130,0,13,92,40,25971.029087623057,25971.029087623057,0.0
131.0,131,0,13,92,42,26379.96797151541,26379.96797151541,0.0
132.0,132,0,13,93,42,26693.966193438315,26693.966193438315,0.0
133.0,133,0,13,94,42,27053.580190657474,27053.580190657474,0.0
134.0,134,0,13,95,42,27406.65458926288,27406.65458926288,0.0
135.0,135,0,14,95,43,27742.3042989881,27742.3042989881,0.0
136.0,136,0,14,96,45,28053.394071458566,28053.394071458566,0.0
137.0,137,0,14,97,45,28389.202177141673,28389.202177141673,0.0
138.0,138,0,14,97,45,28688.467076972644,28688.467076972644,0.0
139.0,139,0,14,98,48,29020.34278669389,29020.34278669389,0.0
140.0,140,0,14,98,50,29410.79177574073,29410.79177574073,0.0
141.0,141,0,14,99,52,29811.456402894833,29811.456402894833,0.0
142.0,142,0,14,99,53,30205.64381999958,30205.64381999958,0.0
143.0,143,0,14,100,55,30579.208436901874,30579.208436901874,0.0
144.0,144,0,14,101,55,30985.152964947654,30985.152964947654,0.0
145.0,145,0,14,100,56,31347.713953956543,31347.713953956543,0.0
146.0,146,0,14,100,57,31670.36787307192,31670.36787307192,0.0
147.0,147,0,14,101,57,31979.76465147116,31979.76465147116,0.0
148.0,148,0,14,99,59,32311.79778504902,32311.79778504902,0.0
149.0,149,0,14,99,61,32668.35401885569,32668.35401885569,0.0
